quote	source
A friend is someone who knows all about you and still loves you.	Elbert Hubbard
It is not a lack of love, but a lack of friendship that makes unhappy marriages.	Friedrich Nietzsche
If you can make a woman laugh, you can make her do anything.	Marilyn Monroe
To die will be an awfully big adventure.	J.M. Barrie, Peter Pan
Tis better to have loved and lost, Than never to have loved at all.	Alfred Tennyson, In Memoriam
One is loved because one is loved. No reason is needed for loving.	Paulo Coelho, The Alchemist
We love the things we love for what they are.	Robert Frost
So, I love you because the entire universe conspired to help me find you.	Paulo Coelho, The Alchemist
Where there is love there is life.	Mahatma Gandhi
Never love anyone who treats you like you're ordinary.	Oscar Wilde
I would always rather be happy than dignified.	Charlotte Brontë, Jane Eyre
Nobody has ever measured, not even poets, how much the heart can hold.	Zelda Fitzgerald
We loved with a love that was more than love.	Edgar Allan Poe
What's meant to be will always find a way	Trisha Yearwood
Two people in love, alone, isolated from the world, that's beautiful.	Milan Kundera
The heart was made to be broken.	Oscar Wilde
Love is so short, forgetting is so long.	Pablo Neruda, Love: Ten Poems
There is always some madness in love. But there is also always some reason in madness.	Friedrich Nietzsche
It was love at first sight, at last sight, at ever and ever sight.	Vladimir Nabokov, Lolita
I love you. Remember. They cannot take it	Lauren Oliver, Delirium
I love you more than there are stars in the sky and fish in the sea.	Nicholas Sparks
When love is not madness it is not love.	Pedro Calderón de la Barca
Love is an irresistible desire to be irresistibly desired.	Robert Frost
If I can stop one heart from breaking, I shall not live in vain.	Emily Dickinson
When the power of love overcomes the love of power, the world will know peace.	Jimi Hendrix
Hate the sin, love the sinner.	Mahatma Gandhi
One love, one heart, one destiny.	Bob Marley
Gravitation is not responsible for people falling in love.	Albert Einstein
I love you like a fat kid loves cake!	Scott Adams
We waste time looking for the perfect lover, instead of creating the perfect love.	Tom Robbins
Never close your lips to those whom you have already opened your heart.	Charles Dickens
Find what you love and let it kill you.	Charles Bukowski
Look after my heart - I've left it with you.	Stephenie Meyer, Eclipse
Have enough courage to trust love one more time and always one more time.	Maya Angelou
How do you spell 'love'?" - Piglet "You don't spell it...you feel it." - Pooh	A.A. Milne
Happiness [is] only real when shared	Jon Krakauer, Into the Wild
Was it hard?" I ask.Letting go?" Not as hard as holding on to something that wasn't real.	Lisa Schroeder
As if you were on fire from within.The moon lives in the lining of your skin.	Pablo Neruda
Promise me you'll never forget me because if I thought you would, I'd never leave.	A.A. Milne
You yourself, as much as anybody in the entire universe, deserve your love and affection	Sharon Salzberg
Happiness is holding someone in your arms and knowing you hold the whole world.	Orhan Pamuk, Snow
A half-read book is a half-finished love affair.	David Mitchell, Cloud Atlas
To love oneself is the beginning of a lifelong romance.	Oscar Wilde, An Ideal Husband
I'm oxygen and he's dying to breathe.	Tahereh Mafi, Shatter Me
Who, being loved, is poor?	Oscar Wilde
When I saw you I fell in love, and you smiled because you knew.	Arrigo Boito
You know how they say you only hurt the ones you love? Well, it works both ways.	Chuck Palahniuk, Fight Club
One word frees us of all the weight and pain of life:That word is love.	Sophocles
Respect was invented to cover the empty place where love should be.	Leo Tolstoy, Anna Karenina
The heart has its reasons which reason knows not.	Blaise Pascal
Sometimes love means letting go when you want to hold on tighter.	Melissa Marr, Ink Exchange
Trust your heart if the seas catch fire, live by love though the stars walk backward.	E.E. Cummings
The love of learning, the sequestered nooks,And all the sweet serenity of books	Henry Wadsworth Longfellow
Come sleep with me: We won't make Love, Love will make us.	Julio Cortázar
Nothing takes the taste out of peanut butter quite like unrequited love.	Charles M. Schulz
Ever has it been that love knows not its own depth until the hour of separation.	Kahlil Gibran
Don't cry over someone who wouldn't cry over you.	Lauren Conrad
This is where it all begins. Everything starts here, today.	David Nicholls, One Day
True love is usually the most inconvenient kind.	Kiera Cass, The Selection
If you love something set it free, but don't be surprised if it comes back with herpes.	Chuck Palahniuk
If we have no peace, it is because we have forgotten that we belong to each other.	Mother Teresa
We are who we are, be­cause of those we choose to love and be­cause of those who love us.	Kate Mosse, The Winter Ghosts
Romance is the glamour which turns the dust of everyday life into a golden haze. 	Elinor Glyn
The human heart is a strange vessel. Love and hatred can exist side by side.	Scott Westerfeld
For where all love is, the speaking is unnecessary	Diana Gabaldon, Outlander
Spending time with you showed me what I’ve been missing in my life.	Nicholas Sparks, The Choice
Sex is the consolation you have when you can't have love	Gabriel García Márquez
It is possible to be in love with you just because of who you are.	Maggie Stiefvater, Shiver
The music in his laughter had a way of rounding off the missing notes in her soul.	Gloria Naylor, Linden Hills
I'd learned that some things are best kept secret.	Nicholas Sparks, Dear John
Love is how you stay alive, even after you are gone.	Mitch Albom
love, I've come to understand is more than three words mumbled before bedtime.	Nicholas Sparks
It's not how much we give but how much love we put into giving.	Mother Teresa
And what would humans be without love?"RARE, said Death.	Terry Pratchett, Sourcery
Let yourself be drawn by the stronger pull of that which you truly love.	Jalaluddin Rumi
The soul is healed by being with children.	Fyodor Dostoyevsky
If you're a bird... I'm a bird...	Nicholas Sparks, The Notebook
I wonder if fears ever really go away, or if they just lose their power over us.	Veronica Roth, Allegiant
Trust no friend without faults, and love a woman, but no angel.	Doris Lessing
We must love one another or die	W.H. Auden
If a thing loves, it is infinite.	William Blake
Love is a better master than duty.	Albert Einstein
It doesn't matter who you are or what you look like, so long as somebody loves you.	Roald Dahl, The Witches
You are like nobody since I love you.	Pablo Neruda
There is nothing more truly artistic than to love people.	Vincent van Gogh
In love, no question is ever preposterous.	André Brink, Before I Forget
What greater gift than the love of a cat.	Charles Dickens
The fate of your heart is your choice and no one else gets a vote	Sarah Dessen, This Lullaby
Lovers alone wear sunlight.	E.E. Cummings
The great tragedy of life is not that men perish, but that they cease to love.	W. Somerset Maugham
There's a difference between really loving someone and loving the idea of her.	Gillian Flynn, Gone Girl
Nothing ever happens like you imagine it will	John Green, Paper Towns
Unless you love someone, nothing else makes sense.	E.E. Cummings
Wherever you will go, I will let you down, But this lullaby goes on.	Sarah Dessen, This Lullaby
I'm not sure this is a world I belong in anymore. I'm not sure that I want to wake up.	Gayle Forman, If I Stay
I know my heart will never be the sameBut I'm telling myself I'll be okay	Sara Evans
The best things in life make you sweaty.	Edgar Allan Poe
The day the power of love overrules the love of power, the world will know peace.	Mahatma Gandhi
To fear love is to fear life, and those who fear life are already 3-parts dead.	Bertrand Russell
Whenever you are confronted with an opponent. Conquer him with love.	Mahatma Gandhi
You are my life now.	Stephenie Meyer, Twilight
Please Mia," he implores. "Don't make me write a song.	Gayle Forman, If I Stay
Morning without you is a dwindled dawn.	Emily Dickinson
One day spent with someone you love can change everything.	Mitch Albom, For One More Day
Love is like a brick. You can build a house, or you can sink a dead body.	Lady Gaga
He's not your prince charming if he doesn't make sure you know that you're his princess.	Demi Lovato
I love you more than I think I should.	Becca Fitzpatrick, Crescendo
When you love someone you let them take care of you.	Jodi Picoult
Love, the poet said, is woman's whole existence.	Virginia Woolf, Orlando
The strongest love is the love that can demonstrate its fragility.	Paulo Coelho, Eleven Minutes
nothing in this world was more difficult than love.	Gabriel García Márquez
I know you're tired but come, this is the way.	Jalaluddin Rumi
If I love you, what business is it of yours?	Johann Wolfgang von Goethe
Being with you and not being with you is the only way I have to measure time.	Jorge Luis Borges
The love that moves the sun and the other stars.	Elizabeth Gilbert
How far should a person go in the name of true love?	Nicholas Sparks, The Choice
I'm gonna fight for you, until your heart stops beating.	Stephenie Meyer, Eclipse
But if I hadn't fallen, I wouldn't have met you.	Becca Fitzpatrick, Hush, Hush
And all I loved, I loved alone.	Edgar Allan Poe
The power of finding beauty in the humblest things makes home happy and life lovely.	Louisa May Alcott
Moving on is easy. It's staying moved on that's trickier.	Katerina Stoykova Klemer
Though lovers be lost, love shall not; And death shall have no dominion.	Dylan Thomas
Loving someone and having them love you back is the most precious thing in the world.	Nicholas Sparks, The Rescue
Forever and ever, kid, until you're sick and tired of seeing me.	Marie Lu, Legend
If I know what love is, it is because of you.	Hermann Hesse
Where there is great love, there are always miracles.	Willa Cather
I have seen the best of you, and the worst of you, and I choose both.	Sarah Kay
How far would you go to keep the hope of love alive?	Nicholas Sparks, The Choice
You’ll never be able to find yourself if you’re lost in someone else.	Colleen Hoover, November 9
It's the kind of kiss that inspires stars to climb into the sky and light up the world.	Tahereh Mafi, Ignite Me
You are my heart, my life, my entire existence." -Ash	Julie Kagawa, The Iron Queen
People should fall in love with their eyes closed.	Andy Warhol
A fit, healthy body—that is the best fashion statement	Jess C. Scott
You’ve changed me forever. And I’ll never forget you.	Kiera Cass, The Elite
The only creatures that are evolved enough to convey pure love are dogs and infants.	Johnny Depp
Choose your love. Love your choice.	Thomas S. Monson
The only love that I really believe in is a mother’s love for her children.	Karl Lagerfeld
Love is a serious mental disease.	Plato, Phaedrus
I felt like an animal, and animals don’t know sin, do they?	Jess C. Scott, Wicked Lovely
You don’t take away my choices. You are my choice.	Colleen Houck
I can't set my hopes too high,'Cause every hello ends with a goodbye.	Demi Lovato
True love begins when nothing is looked for in return.	Antoine de Saint-Exupéry
A kiss is a lovely trick designed by nature to stop speech when words become superfluous.	Ingrid Bergman
Every woman wants a man who'll fall in love with her soul as well as her body.	Rainbow Rowell, Attachments
you're an expert at sorry and keeping the lines blurry	Taylor Swift
Wait. You think I'm going to die? That's why you slept with me?	Richelle Mead, Shadow Kiss
Until one has loved an animal, a part of one's soul remains unawakened.	Anatole France
You may choose to look the other way but you can never say again that you did not know.	William Wilberforce
To the world you may be one person but to one person you may be the world.	Bill Wilson
If you could only love enough, you could be the most powerful person in the world.	Emmet Fox
Would you destroy Something perfect in order to make it beautiful?	Gerard Way
Don't ever think I fell for you, or fell over you. I didn't fall in love, I rose in it.	Toni Morrison, Jazz
Amor Fati – “Love Your Fate”, which is in fact your life.	Friedrich Nietzsche
One should always be in love. That's the reason one should never marry.	Oscar Wilde
Love is not a maybe thing, you know when you love someone.	Lauren Conrad
I love you" I say."I love you, too" he says. "I'll see you soon.	Veronica Roth, Allegiant
Even on my weakest daysI get a little bit stronger	Sara Evans
Would he find her?Without question.Would he save her?Always.	Lauren Kate, Torment
I don't think we get a choice in who we fall for," Ian whispers. "I think we just do.	Jodi Picoult, Keeping Faith
A heart filled with anger has no room for love.	Joan Lunden, Wake-Up Calls
Failed relationships can be described as so much wasted make-up.	Marian Keyes, Watermelon
I don't like it when I outweigh my men.	Patricia Briggs, Moon Called
To love is to recognize yourself in another.	Eckhart Tolle
Yes... it wasn't over, it still isn't over.	Nicholas Sparks
And you can't love, not fully, unless you are loved in return.	Lauren Oliver, Requiem
If two people love each other there can be no happy end to it.	Ernest Hemingway
The truest form of love is how you behave toward someone, not how you feel about them.	Steve Hall
The fact is…I’m in love with you, and I have been for some time.	Colleen Houck, Tiger's Curse
Work without love is slavery.	Mother Teresa
Love, when spelled backwards and read phonetically, reads evil	Eminem
But you're the only one, Scarlet. You'll always be the only one.	Marissa Meyer, Scarlet
If you love deeply, you're going to get hurt badly. But it's still worth it.	C.S. Lewis
There can be no deep disappointment where there is not deep love.	Martin Luther King Jr.
Often it is the most deserving people who cannot help loving those who destroy them.	Hermann Hesse
After all, damn it, what does being in love mean if you can't trust a person.	Evelyn Waugh, Vile Bodies
If you’re smart, you care. And if you care, you love.	Lauren Oliver, Pandemonium
Love is the strongest force the world possesses and yet it is the humblest imaginable.	Mahatma Gandhi
i carry your heart with me(i carry it in my heart)	E.E. Cummings, Selected Poems
You made me feel alive again.	Julie Kagawa, The Iron King
Everybody is a main character to someone...	Amy Harmon, Making Faces
